"observation.id","group_sex","first.five.activity","group_size"
1,"All Female","Travel",1
2,"All Female","Forage",1
3,"All Female","Forage",1
4,"All Female","Forage",1
5,"All Female","Forage",1
6,"All Female","Forage",1
7,"All Male","Rest",1
8,"All Male","Forage",1
9,"All Male","Rest",1
10,"All Female","Forage",1
11,"All Male","Forage",1
12,"All Female","Forage",1
13,"All Male","Forage",1
14,"All Female","Forage",1
15,"All Female","Forage",1
16,"All Female","Forage",1
17,"All Female","Other",1
18,"All Female","Forage",1
19,"All Female","Forage",1
20,"All Female","Forage",1
21,"All Female","Other",1
22,"Mixed","Forage",2
23,"All Female","Other",1
24,"All Male","Forage",1
25,"All Male","Travel",1
26,"All Female","Forage",1
27,"All Female","Forage",1
28,"All Female","Forage",1
29,"All Female","Forage",1
30,"All Female","Forage",1
31,"All Female","Forage",1
32,"All Female","Forage",1
33,"All Female","Forage",1
34,"All Male","Forage",1
35,"All Male","Forage",1
36,"All Female","Forage",1
37,"All Male","Forage",1
38,"All Male","Forage",1
39,"All Female","Forage",1
40,"All Female","Rest",1
41,"All Female","Forage",1
42,"All Male","Forage",1
43,"All Male","Forage",1
44,"All Male","Forage",1
45,"All Male","Forage",1
46,"All Male","Rest",2
47,"All Male","Forage",1
48,"All Female","Rest",1
49,"All Male","Forage",1
50,"All Female","Forage",1
51,"All Male","Forage",1
52,"All Female","Forage",2
53,"All Female","Forage",1
54,"All Male","Social",2
55,"All Male","Forage",1
56,"All Male","Rest",1
57,"All Male","Rest",1
58,"All Male","Forage",1
59,"All Male","Forage",1
60,"All Male","Travel",1
61,"All Male","Forage",1
62,"All Male","Travel",1
63,"All Male","Forage",1
64,"All Male","Forage",1
65,"All Male","Forage",1
66,"All Male","Forage",1
67,"All Male","Travel",1
68,"All Male","Rest",1
69,"All Female","Forage",1
70,"All Male","Rest",1
71,"All Female","Travel",2
72,"All Male","Travel",1
73,"All Male","Travel",1
74,"All Male","Rest",2
75,"All Female","Forage",1
76,"All Female","Forage",1
77,"All Female","Forage",1
78,"All Male","Forage",1
79,"All Female","Forage",1
80,"All Female","Travel",1
81,"All Female","Forage",1
82,"All Male","Forage",1
83,"All Female","Travel",1
84,"All Female","Forage",1
85,"All Female","Rest",1
86,"All Female","Rest",1
87,"All Female","Rest",1
88,"All Male","Rest",1
89,"All Male","Travel",1
90,"All Female","Travel",1
91,"All Female","Forage",1
92,"All Female","Forage",1
93,"All Female","Travel",1
94,"All Female","Rest",1
95,"All Female","Forage",1
96,"All Female","Rest",1
97,"All Female","Rest",1
98,"All Male","Forage",1
99,"All Male","Forage",1
100,"All Female","Forage",1
101,"All Male","Travel",1
102,"All Female","Forage",1
103,"All Male","Travel",1
104,"All Female","Rest",1
105,"All Female","Forage",1
106,"All Male","Forage",1
107,"All Male","Forage",1
108,"All Female","Forage",1
109,"All Male","Social",2
110,"All Male","Travel",1
111,"All Female","Forage",1
112,"All Female","Forage",2
113,"Mixed","Social",3
114,"All Male","Forage",1
115,"All Male","Forage",1
116,"All Male","Rest",1
117,"All Male","Forage",1
118,"All Male","Forage",1
119,"All Male","Forage",1
120,"All Male","Forage",1
121,"All Female","Forage",1
122,"All Male","Forage",1
123,"All Female","Forage",2
124,"All Female","Forage",1
125,"All Female","Forage",1
126,"All Female","Forage",1
127,"All Male","Forage",3
128,"All Female","Forage",1
129,"All Female","Rest",2
130,"All Male","Forage",1
131,"All Female","Forage",3
132,"Mixed","Forage",2
133,"All Female","Forage",1
134,"All Female","Forage",1
135,"All Male","Rest",2
136,"All Female","Forage",1
137,"All Male","Forage",1
138,"All Female","Forage",1
139,"All Female","Forage",1
140,"All Female","Forage",1
141,"All Male","Forage",2
142,"All Male","Forage",1
143,"All Male","Travel",2
144,"All Male","Forage",1
145,"All Female","Forage",1
146,"All Female","Forage",1
147,"All Female","Forage",1
148,"Mixed","Travel",2
149,"All Male","Forage",1
150,"All Female","Rest",1
151,"All Female","Forage",1
152,"All Female","Forage",1
153,"All Male","Forage",1
154,"All Male","Travel",1
155,"All Male","Forage",1
156,"All Male","Forage",1
157,"All Female","Forage",1
158,"All Female","Forage",1
159,"All Male","Forage",1
160,"All Female","Forage",1
161,"All Male","Forage",2
162,"All Female","Travel",1
163,"All Male","Forage",2
164,"All Female","Travel",1
165,"Mixed","Forage",2
166,"All Female","Forage",1
167,"All Male","Travel",2
168,"All Male","Travel",2
169,"Mixed","Travel",2
170,"All Female","Forage",1
171,"All Female","Forage",1
172,"All Male","Forage",2
173,"All Female","Forage",1
174,"Mixed","Social",3
175,"All Female","Forage",1
176,"All Male","Forage",2
177,"All Male","Travel",3
178,"All Female","Forage",1
179,"All Male","Social",3
180,"Mixed","Social",2
181,"All Female","Forage",1
182,"Mixed","Forage",4
183,"All Male","Travel",1
184,"All Male","Forage",1
185,"All Male","Rest",4
186,"All Female","Forage",1
187,"All Male","Travel",1
188,"All Male","Forage",1
189,"All Male","Forage",1
190,"Mixed","Forage",2
191,"All Male","Forage",1
192,"All Female","Forage",1
193,"All Female","Forage",1
194,"All Male","Forage",1
195,"All Male","Forage",1
196,"All Female","Forage",1
197,"All Male","Forage",1
198,"All Male","Forage",1
199,"All Male","Forage",1
200,"All Female","Forage",1
201,"All Male","Forage",1
202,"All Male","Social",3
203,"All Female","Forage",1
204,"All Female","Forage",1
205,"All Male","Forage",3
206,"All Male","Forage",1
207,"All Male","Forage",1
208,"All Female","Forage",1
209,"All Male","Travel",1
210,"All Male","Forage",2
211,"All Female","Forage",1
212,"All Male","Forage",1
213,"All Female","Forage",1
214,"All Female","Forage",1
215,"All Female","Forage",1
216,"All Male","Forage",1
217,"All Male","Forage",1
218,"All Female","Forage",1
219,"All Female","Forage",1
220,"All Male","Forage",2
221,"All Male","Forage",1
222,"All Male","Forage",1
223,"All Female","Forage",1
224,"All Male","Forage",1
225,"All Female","Forage",1
226,"All Male","Forage",2
227,"All Male","Travel",1
228,"All Male","Forage",1
229,"All Male","Forage",1
230,"All Female","Social",3
231,"All Female","Forage",1
232,"All Male","Forage",1
233,"All Male","Forage",1
234,"All Male","Forage",1
235,"All Male","Forage",1
236,"All Male","Forage",2
237,"All Female","Forage",1
238,"All Male","Forage",1
239,"All Female","Forage",1
240,"All Male","Forage",1
241,"Mixed","Forage",2
242,"All Female","Forage",1
243,"All Male","Travel",1
244,"All Female","Forage",1
245,"All Male","Travel",1
246,"All Male","Forage",1
247,"All Male","Forage",1
248,"All Female","Forage",1
249,"All Female","Forage",1
250,"All Female","Travel",1
251,"All Female","Forage",1
252,"All Male","Forage",1
253,"All Male","Forage",1
254,"All Male","Forage",1
255,"All Male","Travel",1
256,"All Female","Travel",1
257,"All Male","Forage",1
258,"Mixed","Forage",2
259,"All Male","Forage",1
260,"All Female","Travel",1
261,"All Female","Travel",1
262,"All Male","Travel",1
263,"Mixed","Rest",2
264,"All Female","Forage",1
265,"All Female","Travel",1
266,"All Male","Forage",1
267,"All Male","Forage",1
268,"Mixed","Forage",4
269,"All Female","Travel",1
270,"All Female","Rest",1
271,"All Female","Travel",2
272,"All Male","Travel",1
273,"All Female","Forage",2
274,"All Male","Rest",1
275,"All Female","Forage",1
276,"All Female","Travel",1
277,"All Female","Forage",1
278,"All Male","Rest",2
279,"All Female","Forage",1
280,"All Female","Forage",1
281,"All Female","Forage",1
282,"All Female","Forage",1
283,"All Female","Travel",1
284,"All Male","Forage",1
285,"All Female","Forage",1
286,"All Male","Forage",1
287,"All Female","Forage",1
288,"All Male","Forage",1
289,"All Female","Forage",1
290,"All Female","Forage",1
291,"All Male","Forage",1
292,"All Male","Forage",1
293,"All Female","Forage",1
294,"All Female","Forage",1
295,"All Female","Forage",1
296,"All Female","Forage",1
297,"All Female","Forage",1
298,"All Female","Forage",1
299,"All Male","Forage",1
300,"All Female","Forage",1
301,"All Female","Forage",1
302,"All Female","Forage",1
303,"All Female","Forage",1
304,"All Female","Travel",1
305,"All Female","Forage",1
306,"All Female","Forage",1
307,"All Female","Forage",1
308,"All Female","Forage",1
309,"All Female","Forage",1
310,"All Female","Forage",1
311,"All Female","Forage",1
312,"Mixed","Rest",3
313,"Mixed","Travel",2
314,"All Male","Forage",1
315,"Mixed","Social",3
316,"All Male","Forage",1
317,"Mixed","Social",4
318,"All Female","Forage",1
319,"All Female","Forage",1
320,"All Male","Forage",1
321,"All Female","Travel",1
322,"Mixed","Forage",3
323,"Mixed","Social",5
324,"All Female","Forage",1
325,"All Female","Forage",1
326,"All Female","Rest",2
327,"All Female","Forage",1
328,"All Female","Travel",1
329,"All Female","Travel",2
330,"All Male","Forage",1
331,"All Female","Forage",1
332,"All Female","Forage",1
333,"All Male","Forage",1
334,"All Male","Forage",1
335,"All Female","Forage",1
336,"All Female","Forage",1
337,"All Female","Forage",1
338,"All Female","Forage",1
339,"All Male","Forage",1
340,"All Female","Forage",1
341,"All Female","Forage",1
342,"All Female","Forage",1
343,"All Male","Travel",1
344,"Mixed","Travel",3
345,"All Female","Forage",1
346,"All Female","Forage",1
347,"All Male","Rest",1
348,"All Female","Rest",2
349,"All Male","Travel",1
350,"All Female","Forage",1
351,"All Male","Travel",1
352,"All Female","Forage",1
353,"All Male","Travel",1
354,"All Male","Forage",1
355,"Mixed","Rest",3
356,"All Male","Travel",1
357,"All Female","Forage",1
358,"All Female","Forage",1
359,"Mixed","Rest",3
360,"All Female","Travel",1
361,"All Female","Travel",3
362,"All Female","Forage",1
363,"All Female","Forage",1
364,"All Female","Forage",1
365,"All Male","Forage",1
366,"All Female","Forage",1
367,"All Male","Forage",1
368,"All Female","Forage",1
369,"All Female","Forage",1
370,"All Female","Forage",1
371,"All Female","Forage",1
372,"All Female","Forage",1
373,"All Male","Travel",1
374,"All Female","Forage",1
375,"All Female","Forage",1
376,"All Male","Forage",1
377,"All Female","Forage",2
378,"All Female","Forage",1
379,"All Male","Forage",1
380,"All Female","Forage",1
381,"All Male","Forage",1
382,"Mixed","Forage",3
383,"All Female","Travel",1
384,"All Female","Forage",1
385,"All Male","Travel",1
386,"All Female","Forage",1
387,"All Female","Travel",1
388,"All Female","Forage",2
389,"All Female","Forage",1
390,"All Female","Forage",1
391,"All Male","Rest",1
392,"All Female","Forage",1
393,"Mixed","Forage",2
394,"All Female","Rest",1
395,"All Female","Forage",1
396,"All Female","Forage",1
397,"All Female","Forage",1
398,"All Female","Forage",1
399,"All Male","Rest",2
400,"All Female","Forage",1
401,"All Female","Forage",1
402,"All Female","Travel",1
403,"All Male","Forage",1
404,"All Male","Forage",1
405,"All Female","Rest",1
406,"All Female","Forage",1
407,"All Male","Rest",1
408,"All Female","Travel",1
409,"All Female","Forage",1
410,"All Female","Travel",1
411,"All Female","Travel",1
412,"All Female","Rest",2
413,"All Female","Forage",1
414,"All Female","Forage",1
415,"All Female","Forage",1
416,"All Female","Rest",1
417,"All Male","Travel",1
418,"All Female","Forage",1
419,"All Female","Forage",1
420,"All Female","Travel",1
421,"All Female","Forage",2
422,"All Female","Rest",1
423,"All Female","Forage",1
424,"All Male","Forage",1
425,"All Female","Forage",1
426,"All Male","Forage",1
427,"Mixed","Forage",2
428,"All Male","Forage",1
429,"All Female","Travel",1
430,"All Female","Forage",1
431,"All Female","Forage",2
432,"All Female","Forage",1
433,"All Female","Forage",1
434,"All Female","Forage",1
435,"All Female","Forage",1
436,"All Male","Forage",1
437,"All Female","Forage",1
438,"All Female","Forage",2
439,"All Male","Forage",1
440,"All Female","Forage",1
441,"All Female","Forage",1
442,"All Female","Travel",1
443,"All Male","Travel",2
444,"All Female","Forage",1
445,"All Female","Forage",2
446,"All Female","Forage",1
447,"All Female","Travel",1
448,"All Female","Forage",2
449,"All Female","Forage",1
450,"All Female","Forage",1
451,"All Female","Forage",2
452,"All Female","Forage",1
453,"All Female","Forage",1
454,"All Female","Forage",1
455,"All Female","Forage",1
456,"All Female","Forage",1
457,"All Male","Travel",1
458,"All Female","Forage",1
459,"All Male","Forage",1
460,"All Female","Forage",1
461,"All Female","Forage",1
462,"All Female","Forage",1
463,"All Female","Forage",1
464,"All Male","Forage",1
465,"All Female","Travel",1
466,"All Male","Forage",1
467,"All Female","Travel",1
468,"All Male","Forage",1
469,"All Female","Travel",1
470,"All Female","Forage",1
471,"All Female","Forage",1
472,"All Male","Forage",1
473,"All Female","Forage",1
474,"All Female","Rest",2
475,"All Female","Travel",1
476,"All Female","Forage",1
477,"All Female","Forage",1
478,"All Male","Travel",1
479,"All Male","Forage",1
480,"All Female","Rest",1
481,"All Female","Travel",1
482,"All Female","Forage",1
483,"All Female","Forage",1
484,"All Male","Rest",1
485,"All Male","Forage",1
486,"All Female","Forage",1
487,"All Female","Travel",1
488,"All Female","Forage",1
489,"All Female","Forage",1
490,"All Female","Forage",1
491,"All Female","Forage",1
492,"All Male","Rest",1
493,"All Female","Forage",1
494,"All Male","Forage",1
495,"All Female","Forage",1
496,"All Female","Forage",1
497,"All Female","Forage",1
498,"All Male","Forage",1
499,"All Female","Forage",2
500,"All Female","Travel",1
501,"All Male","Other",1
502,"All Male","Forage",1
503,"All Male","Forage",1
504,"All Female","Forage",1
505,"All Female","Forage",1
506,"Mixed","Forage",2
507,"All Female","Forage",1
508,"Mixed","Forage",2
509,"All Female","Forage",1
510,"All Male","Travel",1
511,"All Female","Forage",1
512,"Mixed","Forage",2
513,"All Male","Forage",1
514,"All Female","Forage",1
515,"All Male","Forage",1
516,"All Female","Forage",1
517,"All Female","Forage",1
518,"All Male","Forage",1
519,"All Male","Other",1
520,"All Female","Travel",2
521,"All Female","Travel",2
522,"All Female","Travel",1
523,"All Female","Forage",1
524,"All Female","Travel",1
525,"All Male","Forage",1
526,"All Female","Travel",1
527,"All Male","Forage",1
528,"All Male","Rest",2
529,"All Male","Social",2
530,"Mixed","Rest",3
531,"All Female","Forage",1
532,"All Female","Forage",1
533,"All Female","Travel",1
534,"All Male","Travel",1
535,"All Female","Forage",1
536,"All Female","Rest",2
537,"All Female","Forage",1
538,"All Male","Forage",1
539,"All Female","Forage",1
540,"All Male","Forage",1
541,"All Female","Forage",2
542,"All Female","Forage",1
543,"All Female","Travel",1
544,"All Male","Travel",1
545,"All Female","Travel",1
546,"All Female","Forage",1
547,"All Male","Social",2
548,"All Female","Travel",1
549,"All Female","Forage",1
550,"All Female","Travel",1
551,"All Female","Forage",1
552,"All Female","Forage",2
553,"All Female","Forage",1
554,"All Female","Forage",1
555,"All Female","Forage",1
556,"All Male","Forage",1
557,"All Female","Forage",1
558,"All Male","Forage",1
559,"All Female","Travel",1
560,"All Female","Travel",1
561,"All Male","Rest",2
562,"All Male","Forage",1
563,"All Female","Forage",2
564,"All Female","Forage",1
565,"All Female","Travel",1
566,"All Female","Rest",2
567,"All Male","Forage",1
568,"All Male","Forage",1
569,"All Male","Travel",1
570,"All Female","Forage",3
571,"All Female","Forage",1
572,"All Female","Forage",1
573,"Mixed","Rest",3
574,"Mixed","Social",4
575,"All Male","Travel",1
576,"Mixed","Forage",3
577,"Mixed","Forage",4
578,"All Female","Forage",1
579,"All Female","Forage",1
580,"All Female","Rest",1
581,"Mixed","Rest",2
582,"All Male","Forage",1
583,"All Female","Forage",1
584,"All Female","Forage",1
585,"All Female","Forage",1
586,"All Male","Forage",1
587,"All Male","Travel",1
588,"All Female","Forage",1
589,"All Female","Forage",1
590,"All Male","Rest",1
591,"All Male","Forage",1
592,"All Female","Rest",1
593,"Mixed","Forage",2
594,"All Female","Other",1
595,"All Female","Forage",1
596,"Mixed","Rest",2
597,"All Female","Forage",1
598,"All Female","Other",1
599,"All Female","Forage",1
600,"All Female","Forage",1
601,"All Male","Forage",1
602,"All Female","Travel",1
603,"All Male","Forage",2
604,"All Female","Forage",1
605,"All Male","Forage",2
606,"All Female","Forage",1
607,"All Female","Forage",1
608,"All Male","Forage",2
609,"All Female","Travel",2
610,"All Female","Forage",1
611,"All Male","Forage",1
612,"All Female","Forage",1
613,"All Male","Forage",1
614,"All Female","Forage",1
615,"All Female","Travel",2
616,"All Female","Forage",1
617,"All Male","Travel",1
618,"All Male","Forage",1
619,"All Female","Forage",1
620,"Mixed","Social",3
621,"All Female","Travel",1
622,"All Male","Rest",1
623,"All Female","Rest",1
624,"All Female","Travel",1
625,"All Female","Travel",1
626,"All Male","Rest",2
627,"All Female","Rest",1
628,"All Male","Travel",1
629,"All Female","Forage",1
630,"All Female","Forage",1
631,"All Female","Rest",1
632,"All Female","Forage",2
633,"All Male","Rest",2
634,"All Male","Forage",1
635,"All Female","Forage",1
636,"All Male","Travel",2
637,"Mixed","Forage",3
638,"All Female","Travel",1
639,"All Male","Travel",1
640,"Mixed","Travel",3
641,"All Male","Forage",1
642,"All Female","Forage",1
643,"All Female","Travel",1
644,"All Male","Travel",1
645,"All Female","Forage",1
646,"All Female","Travel",2
647,"All Female","Travel",1
648,"Mixed","Forage",3
649,"All Female","Forage",1
650,"All Female","Rest",1
651,"All Female","Rest",1
652,"All Female","Forage",1
653,"All Female","Forage",1
654,"All Female","Forage",1
655,"All Female","Forage",1
656,"Mixed","Forage",2
657,"Mixed","Travel",3
658,"All Female","Travel",1
659,"All Male","Forage",1
660,"All Female","Forage",1
661,"All Female","Forage",2
662,"All Male","Forage",1
663,"All Male","Forage",1
664,"All Female","Forage",1
665,"All Female","Forage",1
666,"All Female","Forage",1
667,"All Male","Forage",1
668,"Mixed","Forage",2
669,"All Female","Forage",1
